Program,Site Name,City,State,Latitude,Longitude
Abandoned Mine Land,"SOLOMONS MINES, INC. (WRG)",PHOENIX,AZ,33.499,-111.868
Abandoned Mine Land,CASH MINE,PRESCOTT,AZ,34.418,-112.417
Abandoned Mine Land,HASSAYAMPA/LYNX CREEK ABANDONED MINES,PRESCOTT,AZ,34.547,-111.528
Abandoned Mine Land,HOLIDAY GIRL MINE,PRESCOTT,AZ,34.428,-112.416
Abandoned Mine Land,MCCLEUR TAILINGS,PRESCOTT,AZ,34.424,-112.426
Abandoned Mine Land,SENATOR MINE,PRESCOTT,AZ,34.426,-112.433
Abandoned Mine Land,SHELDON MINE,PRESCOTT,AZ,34.547,-111.528
Abandoned Mine Land,SUNDANCE MINE,PRESCOTT,AZ,34.422,-112.429
Abandoned Mine Land,ZULA MINE,RYE,AZ,34.232,-110.663
Abandoned Mine Land,DUVAL CORP/ESPERANZA MINE,SAHUARITA,AZ,31.907,-109.017
Abandoned Mine Land,MAGMA COPPER CO,SUPERIOR,AZ,33.293,-110.894
Abandoned Mine Land,VULTURE MILL SITE,WICKENBURG,AZ,33.967,-111.27
Abandoned Mine Land,ABANDONED URANIUM MINES ON THE NAVAJO NATION,WINDOW ROCK,AZ,35.652,-109.067
Abandoned Mine Land,BLACKROCK MINE,BISHOP,CA,37.362,-117.605
Abandoned Mine Land,PENN MINE,CAMPO SECO,CA,38.23,-119.148
Abandoned Mine Land,ALTOONA MINE,CASTELLA,CA,41.137,-122.548
Abandoned Mine Land,A & W SMELTER,CHULA VISTA,CA,32.647,-116.948
Abandoned Mine Land,SULPHUR BANK MERCURY MINE,CLEARLAKE OAKS,CA,39.00555,-122.6703
Abandoned Mine Land,ATLAS ASBESTOS MINE,COALINGA,CA,36.32166,-120.5867
Abandoned Mine Land,COALINGA ASBESTOS MINE,COALINGA,CA,36.31,-120.5283
Abandoned Mine Land,SOLAMBO MINE,COULTERVILLE,CA,37.712,-119.805
Abandoned Mine Land,EL DORADO HILLS NATURALLY OCCURRING ASBESTOS,EL DORADO HILLS,CA,38.685,-121.075
Abandoned Mine Land,GIBRALTAR MINING CO.,GOLETA,CA,34.524,-118.343
Abandoned Mine Land,IDAHO MARYLAND MINE,GRASS VALLEY,CA,39.222,-121.038
Abandoned Mine Land,US FOREST SVC-DRINKWATER GULCH MINE,HAYFORK,CA,40.565,-122.729
Abandoned Mine Land,CELTOR CHEMICAL WORKS,HOOPA,CA,41.1027,-123.6911
Abandoned Mine Land,COPPER BLUFF MINE (BOLIVAR MINE)-HOOPA,HOOPA,CA,41.117,-122.333
Abandoned Mine Land,ARGONAUT MINE,JACKSON,CA,38.463,-122.982
Abandoned Mine Land,SHAHARALD MINE,KRAMER JUNCTION,CA,34.924,-117.465
Abandoned Mine Land,PIONEER PIT AND GARDNER'S POINT PLACER MINES,LA PORTE,CA,39.404,-120.556
Abandoned Mine Land,USDOJ BLM,MARIPOSA,CA,37.488,-118.037
Abandoned Mine Land,LEVIATHAN MINE,MARKLEEVILLE,CA,38.70388,-119.65611
Abandoned Mine Land,LAVA CAP MINE,NEVADA CITY,CA,39.22805,-120.96986
Abandoned Mine Land,NEW IDRIA MERCURY MINE,NEW IDRIA,CA,36.415,-119.326
Abandoned Mine Land,KLAU/BUENA VISTA MINE,PASO ROBLES,CA,35.6259,-120.8967
Abandoned Mine Land,GAMBONINI MERCURY MINE,PETALUMA,CA,38.101,-122.465
Abandoned Mine Land,BALAKLALA MINE,REDDING,CA,40.729,-121.506
Abandoned Mine Land,COPPER MOUNTAIN MINE,REDDING,CA,40.572,-121.598
Abandoned Mine Land,IRON MOUNTAIN MINE,REDDING,CA,40.67166,-122.5278
Abandoned Mine Land,SHASTA TRINITY NAT FOREST,REDDING,CA,40.572,-121.598
Abandoned Mine Land,BLUE LEDGE MINE,ROGUE RIVER NF,CA,41.965,-123.102
Abandoned Mine Land,ALMADEN QUICKSILVER PARK,SAN JOSE,CA,37.332,-120.127
Abandoned Mine Land,RINCONADA MINE,SANTA MARGARITA,CA,35.632,-119.31
Abandoned Mine Land,MAMMOTH MINE,SHASTA LAKE,CA,40.762,-121.548
Abandoned Mine Land,SISKON MINE,SOMES BAR,CA,41.581,-122.359
Abandoned Mine Land,CENTRAL EUREKA MINE,SUTTER CREEK,CA,38.392,-119.198
Abandoned Mine Land,ABBOTT/TURKEY RUN MINE,WILLIAMS,CA,39.019,-122.435
Abandoned Mine Land,EUGENIA MINE,ALLENSPARK,CO,40.284,-105.573
Abandoned Mine Land,SMUGGLER MOUNTAIN,ASPEN,CO,39.19166,-106.8107
Abandoned Mine Land,HENDRICKS MINING & MILLING,BOULDER,CO,40.028,-104.71
Abandoned Mine Land,SWEENEY MILL,BOULDER,CO,40.028,-104.71
Abandoned Mine Land,CLAIM JUMPER/SHOCK HILL,BRECKENRIDGE,CO,39.494,-106.051
Abandoned Mine Land,JESSIE MINE AND MILL,BRECKENRIDGE,CO,39.5,-105.917
Abandoned Mine Land,COLLEGE OF THE CANON % ERNEST BAUMAN,CANON CITY,CO,38.443,-105.237
Abandoned Mine Land,LINCOLN PARK,CANON CITY,CO,38.4,-105.2333
Abandoned Mine Land,US SMELTER,CANON CITY,CO,38.429,-105.239
Abandoned Mine Land,COLORADO PHILADELPHIA REDUCTION WORKS,COLORADO SPRINGS,CO,38.849,-103.126
Abandoned Mine Land,CEDAR RESOURCES,CONEJOS,CO,37.347,-105.466
Abandoned Mine Land,EAST WILLOW CREEK AND WILLOW CREEK,CREEDE,CO,38.404,-104.465
Abandoned Mine Land,NELSON TUNNEL,CREEDE,CO,37.871,-106.94
Abandoned Mine Land,WEST WILLOW CREEK,CREEDE,CO,37.875,-105.075
Abandoned Mine Land,ARGO SMELTER,DENVER,CO,39.784,-104.99
Abandoned Mine Land,"ASARCO, INC. (GLOBE PLANT)",DENVER,CO,39.79333,-104.98027
Abandoned Mine Land,DENVER RADIUM SITE,DENVER,CO,39.71666,-105
Abandoned Mine Land,OMAHA AND GRANT SMELTER,DENVER,CO,39.784,-104.961
Abandoned Mine Land,VASQUEZ BOULEVARD AND I-70,DENVER,CO,39.79166,-104.95833
Abandoned Mine Land,WESTERN MINERALS DENVER PLANT,DENVER,CO,39.714,-105.004
Abandoned Mine Land,LONDON MINE,FAIRPLAY,CO,39.273,-105.862
Abandoned Mine Land,BELDEN CRIBBINGS,GILMAN,CO,39.525,-106.4
Abandoned Mine Land,NORTH STAR MINE,GRAND LAKE,CO,40.428,-105.849
Abandoned Mine Land,STANDARD MINE,GUNNISON NATIONAL FORREST,CO,38.87916,-107.07389
Abandoned Mine Land,GEM PARK COMPLEX,HILLSIDE,CO,38.269,-105.546
Abandoned Mine Land,"CENTRAL CITY, CLEAR CREEK",IDAHO SPRINGS,CO,39.75,-105.5
Abandoned Mine Land,BUENO MILL & MINE SITE,JAMESTOWN,CO,40.116,-105.394
Abandoned Mine Land,EVENING STAR MINE,JAMESTOWN,CO,40.132,-105.404
Abandoned Mine Land,GOLDEN AGE MINE,JAMESTOWN,CO,40.123,-105.358
Abandoned Mine Land,HALL VALLEY MINES,JEFFERSON,CO,37.875,-106.042
Abandoned Mine Land,PENNSYLVANIA MINE,KEYSTONE,CO,39.6,-105.81
Abandoned Mine Land,PERU CREEK MINING DISTRICT,KEYSTONE,CO,39.597,-105.874
Abandoned Mine Land,HENSON CREEK MINES,LAKE CITY,CO,38.223,-106.686
Abandoned Mine Land,CALIFORNIA GULCH,LEADVILLE,CO,39.23611,-106.2692
Abandoned Mine Land,HALF MOON CREEK SITE,LEADVILLE,CO,39.141,-106.492
Abandoned Mine Land,MOUNT CHAMPION MILL SITE,LEADVILLE,CO,39.138,-106.504
Abandoned Mine Land,ST. KEVIN GULCH WATERSHED,LEADVILLE,CO,39.292,-106.375
Abandoned Mine Land,MOLYCORP INC,LOUVIERS,CO,39.49,-104.988
Abandoned Mine Land,EAGLE MINE,MINTURN/REDCLIFF,CO,39.53333,-106.3917
Abandoned Mine Land,CARBONERO MINE,OPHIR,CO,37.793,-106.191
Abandoned Mine Land,SILVER BELL MINE/MILL,OPHIR,CO,37.862,-106.135
Abandoned Mine Land,AMERICAN LEAD AND ZINC MILL,OURAY,CO,38.056,-107.683
Abandoned Mine Land,"CANYON CREEK WATERSHED, MINED AREAS",OURAY,CO,37.875,-106.042
Abandoned Mine Land,CORKSCREW AND GRAY COPPER GULCHES,OURAY,CO,37.921,-106.343
Abandoned Mine Land,UPPER UNCOMPAHGRE RIVER,OURAY,CO,37.971,-107.625
Abandoned Mine Land,POWERHORN DISTRICT VERMICULITE,POWDERHORN,CO,38.253,-107.053
Abandoned Mine Land,SANTA FE (BRIDGE) CULVERT,PUEBLO,CO,38.242,-103.423
Abandoned Mine Land,RICO - ARGENTINE,RICO,CO,37.692,-108.038
Abandoned Mine Land,SUMMITVILLE MINE,RIO GRANDE COUNTY,CO,37.43,-106.585
Abandoned Mine Land,SLIDE MINE/CORNING TUNNEL,ROWENA,CO,40.069,-105.402
Abandoned Mine Land,KOPPERS - SALIDA,SALIDA,CO,38.53,-106.001
Abandoned Mine Land,SMELTERTOWN SITE,SALIDA,CO,38.55194,-106.02694
Abandoned Mine Land,KENDRICK & GELDER SMELTING CO,SILVERTON,CO,37.82,-106.336
Abandoned Mine Land,UPPER ANIMAS MINING DISTRICT,SILVERTON,CO,37.844,-107.571
Abandoned Mine Land,ROYAL TIGER MINE AND MILL,UNINCORPORATED,CO,39.55,-104.083
Abandoned Mine Land,URAVAN URANIUM PROJECT (UNION CARBIDE CORP.),URAVAN,CO,38.36666,-108.7483
Abandoned Mine Land,GILLETTE GOLD EXTRACTION CO,VICTOR,CO,38.726,-104.878
Abandoned Mine Land,INDEPENDENCE MINE,VICTOR,CO,38.711,-104.864
Abandoned Mine Land,GREAT WEST GOLD AND SILVER,VULCAN,CO,38.382,-107.043
Abandoned Mine Land,CAPTAIN JACK MILL,WARD,CO,40.05583,-105.50361
Abandoned Mine Land,ILSE MINE,WESTCLIFFE,CO,38.168,-104.758
Abandoned Mine Land,FLORIDA SMELTING COMPANY-BERMAN BROS,JACKSONVILLE,FL,30.212,-81.384
Abandoned Mine Land,FLORIDA SMELTING COMPANY-BUFFALO AVE,JACKSONVILLE,FL,30.212,-81.384
Abandoned Mine Land,"CENTRAL PHOSPHATES, INC.",PLANT CITY,FL,28.018,-81.878
Abandoned Mine Land,STAUFFER CHEMICAL CO. (TARPON SPRINGS),TARPON SPRINGS,FL,28.16666,-82.77569
Abandoned Mine Land,IDAHO LAKEVIEW MINE,ATHOL,ID,47.545,-116.283
Abandoned Mine Land,GOLD CREEK-SHOSHONE MILL F,BAYVIEW,ID,47.933,-116.441
Abandoned Mine Land,MINNIE MOORE MINE,BELLEVUE,ID,43.469,-114.293
Abandoned Mine Land,GROUSE CREEK MINE,BONANZA,ID,44.431,-114.73
Abandoned Mine Land,RED LEDGE MINE,CAMBRIDGE,ID,45.23,-115.332
Abandoned Mine Land,CLAYTON SILVER MINE & ASSOC PROPERTIES,CLAYTON,ID,44.281,-113.59
Abandoned Mine Land,USDA FS SALMON NF:BLACKBIRD MINE,COBALT,ID,45.167,-113.733
Abandoned Mine Land,USDA FS CARIBOU NF:SOUTH MABEY CANYON CROSS VALLEY FILL SITE,CONDA,ID,42.741,-111.373
Abandoned Mine Land,USDA FS BOISE NF:MISSOURI MINE,IDAHO CITY,ID,44,-115
Abandoned Mine Land,USDA FS SAWTOOTH NF:BASSETT GULCH MILL,KETCHUM,ID,43.667,-114.458
Abandoned Mine Land,BLACKBIRD MINE,LEMHI COUNTY,ID,45.11638,-114.26444
Abandoned Mine Land,DEADWOOD MINE AKA PILGRIM MINE,LOWMAN,ID,44.471,-114.419
Abandoned Mine Land,USDA FS BOISE NF:URANIUM MILL TAILINGS,LOWMAN,ID,44.279,-114.513
Abandoned Mine Land,CONSTITUTION MILLSITE TAILINGS & ROCKDUM,PINEHURST,ID,47.538,-115.765
Abandoned Mine Land,DENVER TAILINGS PILE,PINEHURST,ID,47.489,-115.806
Abandoned Mine Land,DOUGLAS MINE,PINEHURST,ID,47.454,-115.815
Abandoned Mine Land,LIBERAL KING MILLSITE & TAILINGS,PINEHURST,ID,47.538,-115.765
Abandoned Mine Land,NABOB MILLSITE & MINE,PINEHURST,ID,47.538,-115.765
Abandoned Mine Land,USDA FS BOISE NF:BELSHAZZAR MINE,PLACERVILLE,ID,43.777,-115.989
Abandoned Mine Land,EASTERN MICHAUD FLATS CONTAMINATION,POCATELLO,ID,42.90111,-112.5225
Abandoned Mine Land,CONTINENTAL MINE AND MILL,PORTHILL,ID,48.621,-116.9
Abandoned Mine Land,SONNEMAN MINE & MILL,SILVER CITY,ID,42.745,-116.92
Abandoned Mine Land,BUNKER HILL MINING & METALLURGICAL COMPLEX,SMELTERVILLE,ID,47.54306,-116.1617
RCRA,Wheeling-Pittsburgh Steel Corp.,Follansbee,WV,40.344389,-80.606694
Abandoned Mine Land,MONSANTO CHEMICAL CO. (SODA SPRINGS PLANT),SODA SPRINGS,ID,42.68703,-111.5878
Abandoned Mine Land,CINNABAR MINE,STIBNITE,ID,44.921,-114.712
Abandoned Mine Land,STIBNITE/YELLOW PINE MINING AREA,STIBNITE,ID,44.8925,-115.34527
Abandoned Mine Land,TRIUMPH MINE TAILINGS PILES,TRIUMPH,ID,43.63,-114.277
Abandoned Mine Land,USDA FS PAYETTE NF: STIBNITE MINE AREA,YELLOW PINE,ID,43.203,-115.271
Abandoned Mine Land,USDA FS PAYETTE NF:CINNABAR MINE,YELLOW PINE,ID,44.922,-114.714
Abandoned Mine Land,LACLEDE STEEL COMPANY,ALTON,IL,38.877,-90.15
Abandoned Mine Land,CIRCLE SMELTING CORP.,BECKEMEYER,IL,38.60833,-89.42083
Abandoned Mine Land,MINERVA MINE #1,CAVE IN ROCK,IL,37.534,-88.15
Abandoned Mine Land,ST. LOUIS SMELTING & REFINING CO,COLLINSVILLE,IL,38.67,-88.018
Abandoned Mine Land,HEGELER ZINC,DANVILLE,IL,40.076,-87.65
Abandoned Mine Land,DEPUE/NEW JERSEY ZINC/MOBIL CHEMICAL CORP.,DEPUE,IL,41.32777,-89.30416
Abandoned Mine Land,SHANFELD IRON METAL COMPANY,EAST ST. LOUIS,IL,38.612,-90.152
Abandoned Mine Land,BAUTSCH-GREY MINE,GALENA,IL,42.356,-89.6
Abandoned Mine Land,INSPIRATION MINES,GALENA,IL,42.49,-89.573
Abandoned Mine Land,LITTLE GRANT MINE,GALENA,IL,42.47,-90.427
Abandoned Mine Land,EAGLE ZINC CO DIV T L DIAMOND,HILLSBORO,IL,39.166111,-89.473611
Abandoned Mine Land,MATTHIESSEN AND HEGELER ZINC COMPANY,LA SALLE,IL,41.342,-89.083
Abandoned Mine Land,"R. LAVIN & SONS, INC.",NORTH CHICAGO,IL,42.323,-87.842
Abandoned Mine Land,TRAILS ILLINOIS INDUSTRIAL PLATING,PEORIA,IL,40.708,-89.569
Abandoned Mine Land,ILLINOIS ZINC CO.,PERU,IL,41.325,-89.113
Abandoned Mine Land,ROSICLARE MINES,ROSICLARE,IL,37.429,-88.338
Abandoned Mine Land,SANDOVAL ZINC CO,SANDOVAL,IL,38.612,-88.892
Abandoned Mine Land,PALZO MINE SITE-SHAWNEE NATIONAL FOREST,STONEFORT,IL,37.65,-88.774
Abandoned Mine Land,ASARCO TAYLOR SPRINGS,TAYLOR SPRINGS,IL,39.131,-89.495
Abandoned Mine Land,TESTWORTH LABORATORY,COLUMBIA CITY,IN,41.153,-85.487
Abandoned Mine Land,"U.S. SMELTER AND LEAD REFINERY, INC.",EAST CHICAGO,IN,41.61652,-87.46333
Abandoned Mine Land,METALS REFINING COMPANY,HAMMOND,IN,41.604,-87.487
Abandoned Mine Land,MILLTOWN RESERVOIR SEDIMENTS,MILLTOWN,MT,46.86666,-113.8667
Abandoned Mine Land,PEABODY COAL CO LYNNVILLE MINE (SIA),LYNNVILLE,IN,38.126,-86.607
Abandoned Mine Land,GREEN VALLEY MINE (AMS),WEST TERRE HAUTE,IN,39.508,-86.483
Abandoned Mine Land,CHEROKEE COUNTY,GALENA,KS,37.00388,-94.82388
Abandoned Mine Land,EAGLE-PICHER SMELTER SITE,GALENA,KS,37.087,-94.628
Abandoned Mine Land,PRIME WESTERN SMELTER (OLD),GAS,KS,37.913,-94.655
Abandoned Mine Land,UNITED ZINC #1,IOLA,KS,37.92,-95.4
Abandoned Mine Land,WEST LA HARPE SMELTER SITE,LA HARPE,KS,37.915,-95.316
Abandoned Mine Land,NATIONAL SOUTHWIRE ALUMINUM CO.,HAWESVILLE,KY,37.94499,-86.78777
Abandoned Mine Land,KERRAMERICAN MINE (FORMER),BLUE HILL,ME,44.39,-68.62
Abandoned Mine Land,CALLAHAN MINING CORP,BROOKSVILLE (CAPE ROSIER),ME,44.35163,-68.81013
Abandoned Mine Land,SACO STEEL,SACO,ME,43.52,-70.455
Abandoned Mine Land,DENTON AVE. SITE,HAMTRAMCK,MI,42.387,-83.051
Abandoned Mine Land,TORCH LAKE,HOUGHTON COUNTY,MI,47.16971,-88.39778
Abandoned Mine Land,WESTERN MINERAL PRODUCTS,MINNEAPOLIS,MN,45.005,-92.746
Abandoned Mine Land,ANNAPOLIS LEAD MINE,ANNAPOLIS,MO,37.35555,-90.675
Abandoned Mine Land,TEDDER ROAD LEAD,BELGRADE,MO,37.8,-90.89
Abandoned Mine Land,BIG RIVER HILLS LEAD TAILINGS,BONNE TERRE,MO,37.941,-90.518
Abandoned Mine Land,ST JOE MINERALS CORP - BRUSHY CREEK DIV,BUNKER,MO,37.538,-91.147
Abandoned Mine Land,ST JOE MINERALS CORP - FLETCHER DIV,BUNKER,MO,37.467,-91.108
Abandoned Mine Land,FALLOW ROAD LEAD,CALEDONIA,MO,37.785,-90.775
Abandoned Mine Land,CENTRAL MINING DISTRICT-MONITEAU COUNTY,CALIFORNIA,MO,38.628,-92.566
Abandoned Mine Land,CENTRAL MINING DISTRICT-CAMDEN COUNTY,CAMDENTON,MO,38.009,-92.744
Abandoned Mine Land,CARTHAGE CITY AND EASTERN JASPER COUNTY LEAD,CARTHAGE,MO,37.176,-94.324
Abandoned Mine Land,SOUTHWEST MISSOURI LEAD-BARRY COUNTY,CASSVILLE,MO,36.677,-93.869
Abandoned Mine Land,BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP.,DESLOGE,MO,37.88638,-90.55
Abandoned Mine Land,DOE RUN MINE TAILINGS,DOE RUN,MO,37.741,-90.493
Abandoned Mine Land,ELVINS MINE TAILINGS,ELVINS,MO,37.843,-90.538
Abandoned Mine Land,HIGHWAY OO LEAD,FREDERICKTOWN,MO,37.606,-90.292
Abandoned Mine Land,MADISON COUNTY MINES,FREDERICKTOWN,MO,37.54611,-90.27611
Abandoned Mine Land,NEWTON COUNTY MINE TAILINGS,GRANBY,MO,36.9921,-94.3848
Abandoned Mine Land,JEFFERSON COUNTY LEAD,HILLSBORO,MO,38.255,-90.578
Abandoned Mine Land,STEPHENSON - BENNETT MINE,ORGAN,NM,32.403,-105.402
Abandoned Mine Land,CENTRAL MINING DISTRICT LEAD-COLE COUNTY,JEFFERSON CITY,MO,37.098,-89.547
Abandoned Mine Land,ORONOGO-DUENWEG MINING BELT,JOPLIN,MO,37.10111,-94.42056
Abandoned Mine Land,NATIONAL MINE TAILINGS,PARK HILLS,MO,37.862,-90.511
Abandoned Mine Land,WASHINGTON COUNTY LEAD DISTRICT-POTOSI,POTOSI,MO,37.936,-90.788
Abandoned Mine Land,SWEETWATER MINE,REYNOLDS,MO,37.359,-91.123
Abandoned Mine Land,CENTRAL MINING DISTRICT-MILLER COUNTY,TUSCUMBIA,MO,38.233,-92.458
Abandoned Mine Land,FRANKLIN COUNTY LEAD,UNION,MO,38.465,-91.011
Abandoned Mine Land,VALLES MINES COMPANY,VALLES MINES,MO,38.039,-90.497
Abandoned Mine Land,CENTRAL MINING DISTRICT-MORGAN COUNTY,VERSAILLES,MO,38.431,-92.844
Abandoned Mine Land,ST JOE MINERALS CORP - VIBURNUM,VIBURNUM,MO,37.728,-90.86
Abandoned Mine Land,WACO PITS,WACO,MO,37.228,-94.617
Abandoned Mine Land,ANACONDA CO. SMELTER,ANACONDA,MT,46.11666,-112.915
Abandoned Mine Land,BASIN MINING AREA,BASIN,MT,46.27277,-112.26333
Abandoned Mine Land,LADY LIETH MINE,BASIN,MT,46.392,-112.276
Abandoned Mine Land,MORNING MINE,BASIN,MT,46.365,-112.27
Abandoned Mine Land,"ANACONDA MINERALS CO, GREAT FALLS REF",BLACK EAGLE,MT,47.525,-110.718
Abandoned Mine Land,SILVER BOW CREEK/BUTTE AREA,BUTTE,MT,46.039,-112.7948
Abandoned Mine Land,MOUAT INDUSTRIES,COLUMBUS,MT,45.635,-109.2475
Abandoned Mine Land,GREAT REPUBLIC SMELTER,COOKE CITY,MT,46.158,-113.44
Abandoned Mine Land,NEW WORLD MINE,COOKE CITY,MT,45.072,-109.936
Abandoned Mine Land,BEAVERHEAD NATIONAL FOREST,DILLON,MT,45.225,-112.629
Abandoned Mine Land,ASARCO SODIUM - EAST HELENA,EAST HELENA,MT,45.032,-110.707
Abandoned Mine Land,EAST HELENA SITE,EAST HELENA,MT,46.58166,-111.9183
Abandoned Mine Land,GEORGETOWN RAILROAD,GEORGETOWN LAKE,MT,46.184,-112.742
Abandoned Mine Land,BARKER HUGHESVILLE MINING DISTRICT,GREAT FALLS,MT,47.08333,-110.63027
Brownfield,Albertsons grocery store,El Cajon,CA,32.796033,-116.96379
Abandoned Mine Land,MOAT'S RESIDENCE (LIBBY SISTER),GREAT FALLS,MT,47.509,-111.334
Abandoned Mine Land,SPRING MEADOWS,HELENA,MT,46.608,-112.073
Abandoned Mine Land,UPPER TENMILE CREEK MINING AREA,HELENA,MT,46.48208,-112.24513
Abandoned Mine Land,LIBBY ASBESTOS SITE,LIBBY,MT,48.39152,-115.55111
Abandoned Mine Land,UPPER BLACKFOOT MINING COMPLEX,LINCOLN,MT,47.026,-111.64
Abandoned Mine Land,BLM-LONDONERRY MINE/MAXVILLE TAILINGS,MAXVILLE,MT,46.473,-113.236
Abandoned Mine Land,RHODIA - MAIDEN ROCK MINE,MELROSE,MT,45.697,-112.737
Abandoned Mine Land,CLARK FORK RIVER BASIN,MISSOULA (ALSO OTHERS),MT,46.877,-112.003
