OPD ID,OCS Block,OCS Block Label
NG17-10,884,884
NG16-12,916,916
NG17-10,885,885
NG17-10,886,886
NG17-10,887,887
NG17-10,888,888
NG17-10,889,889
NG17-10,890,890
NG17-10,891,891
NG17-10,892,892
NG17-10,893,893
NG17-10,894,894
NG17-10,895,895
NG17-10,896,896
NG17-10,897,897
NG17-10,898,898
NG17-10,899,899
NG17-10,900,900
NG16-12,879,879
NG16-12,878,878
NG16-12,877,877
NG16-12,876,876
NG17-10,837,837
NG16-12,875,875
NG17-10,838,838
NG16-12,874,874
NG17-10,839,839
NG16-12,873,873
NG17-10,840,840
NG16-12,872,872
NG17-10,841,841
NG16-12,871,871
NG17-10,842,842
NG16-12,870,870
NG17-10,843,843
NG16-12,869,869
NG17-10,844,844
NG17-10,845,845
NG17-10,846,846
NG17-10,847,847
NG17-10,848,848
NG17-10,849,849
NG17-10,850,850
NG17-10,851,851
NG17-10,852,852
NG17-10,853,853
NG17-10,854,854
NG17-10,855,855
NG17-10,856,856
NG16-12,835,835
NG16-12,834,834
NG16-12,833,833
NG16-12,832,832
NG17-10,793,793
NG16-12,831,831
NG17-10,794,794
NG16-12,830,830
NG17-10,795,795
NG16-12,829,829
NG17-10,796,796
NG16-12,828,828
NG17-10,797,797
NG16-12,827,827
NG17-10,798,798
NG16-12,826,826
NG17-10,799,799
NG16-12,825,825
NG17-10,800,800
NG16-12,824,824
NG17-10,801,801
NG16-12,823,823
NG17-10,802,802
NG17-10,803,803
NG17-10,804,804
NG17-10,805,805
NG17-10,806,806
NG17-10,807,807
NG17-10,808,808
NG17-10,809,809
NG17-10,810,810
NG17-10,811,811
NG17-10,812,812
NG16-12,791,791
NG16-12,790,790
NG16-12,789,789
NG16-12,788,788
NG17-10,749,749
NG16-12,787,787
NG17-10,750,750
NG16-12,786,786
NG17-10,751,751
NG16-12,785,785
NG17-10,752,752
NG16-12,784,784
NG17-10,753,753
NG16-12,783,783
NG17-10,754,754
NG16-12,782,782
NG17-10,755,755
NG16-12,781,781
NG17-10,756,756
NG16-12,780,780
NG17-10,757,757
NG16-12,779,779
NG17-10,758,758
NG16-12,778,778
NG17-10,759,759
NG16-12,777,777
NG17-10,760,760
NG16-12,776,776
NG17-10,761,761
NG17-10,762,762
NG17-10,763,763
NG17-10,764,764
NG17-10,765,765
NG17-10,766,766
NG17-10,767,767
NG17-10,768,768
NG16-12,747,747
NG16-12,746,746
NG16-12,745,745
NG16-12,744,744
NG17-10,705,705
NG16-12,743,743
NG17-10,706,706
NG16-12,742,742
NG17-10,707,707
NG16-12,741,741
NG17-10,708,708
NG16-12,740,740
NG17-10,709,709
NG16-12,739,739
NG17-10,710,710
NG16-12,738,738
NG17-10,711,711
NG16-12,737,737
NG17-10,712,712
NG16-12,736,736
NG17-10,713,713
NG16-12,735,735
NG17-10,714,714
NG16-12,734,734
NG17-10,715,715
NG16-12,733,733
NG17-10,716,716
NG16-12,732,732
NG17-10,717,717
NG16-12,731,731
NG17-10,718,718
NG16-12,730,730
NG17-10,719,719
NG17-10,720,720
NG17-10,721,721
NG17-10,722,722
NG17-10,723,723
NG17-10,724,724
NG16-12,703,703
NG16-12,702,702
NG16-12,701,701
NG16-12,700,700
NG17-10,661,661
NG16-12,699,699
NG17-10,662,662
NG16-12,698,698
NG17-10,663,663
NG16-12,697,697
NG17-10,664,664
NG16-12,696,696
NG17-10,665,665
NG16-12,695,695
NG17-10,666,666
NG16-12,694,694
NG17-10,667,667
NG16-12,693,693
NG17-10,668,668
NG16-12,692,692
NG17-10,669,669
NG16-12,691,691
NG17-10,670,670
NG16-12,690,690
NG17-10,671,671
NG16-12,689,689
NG17-10,672,672
NG16-12,688,688
NG17-10,673,673
NG16-12,687,687
NG17-10,674,674
NG16-12,686,686
NG17-10,675,675
NG16-12,685,685
NG17-10,676,676
NG16-12,684,684
NG17-10,677,677
NG17-10,678,678
NG17-10,679,679
NG17-10,680,680
NG16-12,659,659
NG16-12,658,658
NG16-12,657,657
NG16-12,656,656
NG17-10,617,617
NG16-12,655,655
NG17-10,618,618
NG16-12,654,654
NG17-10,619,619
NG16-12,653,653
NG17-10,620,620
NG16-12,652,652
NG17-10,621,621
NG16-12,651,651
NG17-10,622,622
NG16-12,650,650
NG17-10,623,623
NG16-12,649,649
NG17-10,624,624
NG16-12,648,648
NG17-10,625,625
NG16-12,647,647
NG17-10,626,626
NG16-12,646,646
NG17-10,627,627
NG16-12,645,645
NG17-10,628,628
NG16-12,644,644
NG17-10,629,629
NG16-12,643,643
NG17-10,630,630
NG16-12,642,642
NG17-10,631,631
NG16-12,641,641
NG17-10,632,632
NG16-12,640,640
NG17-10,633,633
NG16-12,639,639
NG17-10,634,634
NG16-12,638,638
NG17-10,635,635
NG17-10,636,636
NG16-12,615,615
NG16-12,614,614
NG16-12,613,613
NG16-12,612,612
NG17-10,573,573
NG16-12,611,611
NG17-10,574,574
NG16-12,610,610
NG17-10,575,575
NG16-12,609,609
NG17-10,576,576
NG16-12,608,608
NG17-10,577,577
NG16-12,607,607
NG17-10,578,578
NG16-12,606,606
NG17-10,579,579
NG16-12,605,605
NG17-10,580,580
NG16-12,604,604
NG17-10,581,581
NG16-12,603,603
NG17-10,582,582
NG16-12,602,602
NG17-10,583,583
NG16-12,601,601
NG17-10,584,584
NG16-12,600,600
NG17-10,585,585
NG16-12,599,599
NG17-10,586,586
NG16-12,598,598
NG17-10,587,587
NG16-12,597,597
NG17-10,588,588
NG16-12,596,596
NG17-10,589,589
NG16-12,595,595
NG17-10,590,590
NG16-12,594,594
NG17-10,591,591
NG16-12,593,593
NG17-10,592,592
NG16-12,592,592
NG16-12,571,571
NG16-12,570,570
NG16-12,569,569
NG16-12,568,568
NG17-10,529,529
NG16-12,567,567
NG17-10,530,530
NG16-12,566,566
NG17-10,531,531
NG16-12,565,565
NG17-10,532,532
NG16-12,564,564
NG17-10,533,533
NG16-12,563,563
NG17-10,534,534
NG16-12,562,562
NG17-10,535,535
NG16-12,561,561
NG17-10,536,536
NG16-12,560,560
NG17-10,537,537
NG16-12,559,559
NG17-10,538,538
NG16-12,558,558
NG17-10,539,539
NG16-12,557,557
NG17-10,540,540
NG16-12,556,556
NG17-10,541,541
NG16-12,555,555
NG17-10,542,542
NG16-12,554,554
NG17-10,543,543
NG16-12,553,553
NG17-10,544,544
NG16-12,552,552
NG17-10,545,545
NG16-12,551,551
NG17-10,546,546
NG16-12,550,550
NG17-10,547,547
NG16-12,549,549
NG17-10,548,548
NG16-12,548,548
NG16-12,547,547
NG16-12,546,546
NG16-12,527,527
NG16-12,526,526
NG16-12,525,525
NG16-12,524,524
NG17-10,485,485
NG16-12,523,523
NG17-10,486,486
NG16-12,522,522
NG17-10,487,487
NG16-12,521,521
NG17-10,488,488
NG16-12,520,520
NG17-10,489,489
NG16-12,519,519
NG17-10,490,490
NG16-12,518,518
NG17-10,491,491
NG16-12,517,517
NG17-10,492,492
NG16-12,516,516
NG17-10,493,493
NG16-12,515,515
NG17-10,494,494
NG16-12,514,514
NG17-10,495,495
NG16-12,513,513
NG17-10,496,496
NG16-12,512,512
NG17-10,497,497
NG16-12,511,511
NG17-10,498,498
NG16-12,510,510
NG17-10,499,499
NG16-12,509,509
NG17-10,500,500
NG16-12,508,508
NG17-10,501,501
NG16-12,507,507
NG17-10,502,502
NG16-12,506,506
NG17-10,503,503
NG16-12,505,505
NG17-10,504,504
NG16-12,504,504
NG16-12,503,503
NG16-12,502,502
NG16-12,501,501
NG16-12,500,500
NG16-12,482,482
NG16-12,481,481
NG16-12,480,480
NG17-10,441,441
NG16-12,479,479
NG17-10,442,442
NG16-12,478,478
NG17-10,443,443
NG16-12,477,477
NG17-10,444,444
NG16-12,476,476
NG17-10,445,445
NG16-12,475,475
NG17-10,446,446
NG16-12,474,474
NG17-10,447,447
NG16-12,473,473
NG17-10,448,448
NG16-12,472,472
NG17-10,449,449
NG16-12,471,471
NG17-10,450,450
NG16-12,470,470
NG17-10,451,451
NG16-12,469,469
NG17-10,452,452
NG16-12,468,468
NG17-10,453,453
NG16-12,467,467
NG17-10,454,454
NG16-12,466,466
NG17-10,455,455
NG16-12,465,465
NG17-10,456,456
NG16-12,464,464
NG17-10,457,457
NG16-12,463,463
NG17-10,458,458
NG16-12,462,462
NG17-10,459,459
NG16-12,461,461
NG17-10,460,460
NG16-12,460,460
NG16-12,459,459
NG16-12,458,458
NG16-12,457,457
NG16-12,456,456
NG16-12,455,455
NG16-12,454,454
NG16-12,438,438
NG16-12,437,437
NG16-12,436,436
NG17-10,397,397
NG16-12,435,435
NG17-10,398,398
NG16-12,434,434
NG17-10,399,399
NG16-12,433,433
NG17-10,400,400
NG16-12,432,432
NG17-10,401,401
NG16-12,431,431
NG17-10,402,402
NG16-12,430,430
NG17-10,403,403
NG16-12,429,429
NG17-10,404,404
NG16-12,428,428
NG17-10,405,405
NG16-12,427,427
NG17-10,406,406
NG16-12,426,426
NG17-10,407,407
NG16-12,425,425
NG17-10,408,408
NG16-12,424,424
NG17-10,409,409
NG16-12,423,423
NG17-10,410,410
NG16-12,422,422
NG17-10,411,411
NG16-12,421,421
NG17-10,412,412
NG16-12,420,420
NG17-10,413,413
NG16-12,419,419
NG17-10,414,414
NG16-12,418,418
NG17-10,415,415
NG16-12,417,417
NG16-12,416,416
NG16-12,415,415
NG16-12,414,414
NG16-12,413,413
NG16-12,412,412
NG16-12,411,411
NG16-12,410,410
NG16-12,409,409
NG16-12,408,408
NG16-12,394,394
NG16-12,393,393
NG16-12,392,392
NG17-10,353,353
NG16-12,391,391
NG17-10,354,354
NG16-12,390,390
NG17-10,355,355
NG16-12,389,389
NG17-10,356,356
NG16-12,388,388
NG17-10,357,357
NG16-12,387,387
NG17-10,358,358
NG16-12,386,386
NG17-10,359,359
NG16-12,385,385
NG17-10,360,360
NG16-12,384,384
NG17-10,361,361
NG16-12,383,383
NG17-10,362,362
NG16-12,382,382
NG17-10,363,363
NG16-12,381,381
NG17-10,364,364
NG16-12,380,380
NG17-10,365,365
NG16-12,379,379
NG17-10,366,366
NG16-12,378,378
NG17-10,367,367
NG16-12,377,377
NG17-10,368,368
NG16-12,376,376
NG17-10,369,369
NG16-12,375,375
NG17-10,370,370
NG16-12,374,374
NG16-12,373,373
NG16-12,372,372
NG16-12,371,371
NG16-12,370,370
NG16-12,369,369
NG16-12,368,368
NG16-12,367,367
NG16-12,366,366
NG17-10,371,371
NG16-12,365,365
NG17-10,372,372
NG16-12,364,364
NG17-10,373,373
NG16-12,363,363
NG17-10,374,374
NG16-12,362,362
NG17-10,375,375
NG17-10,376,376
NG17-10,377,377
NG17-10,378,378
NG16-12,350,350
NG16-12,349,349
NG16-12,348,348
NG17-10,309,309
NG16-12,347,347
NG17-10,310,310
NG16-12,346,346
NG17-10,311,311
NG16-12,345,345
NG17-10,312,312
NG16-12,344,344
NG17-10,313,313
NG16-12,343,343
NG17-10,314,314
NG16-12,342,342
NG17-10,315,315
NG16-12,341,341
NG17-10,316,316
NG16-12,340,340
NG17-10,317,317
NG16-12,339,339
NG17-10,318,318
NG16-12,338,338
NG17-10,319,319
NG16-12,337,337
NG17-10,320,320
NG16-12,336,336
NG17-10,321,321
NG16-12,335,335
NG17-10,322,322
NG16-12,334,334
NG17-10,323,323
NG16-12,333,333
NG17-10,324,324
NG16-12,332,332
NG17-10,325,325
NG16-12,331,331
NG17-10,326,326
NG16-12,330,330
NG16-12,329,329
NG16-12,328,328
NG16-12,327,327
NG16-12,326,326
NG16-12,325,325
NG16-12,324,324
NG16-12,323,323
NG16-12,322,322
NG16-12,321,321
NG17-10,336,336
NG16-12,320,320
NG17-10,337,337
NG16-12,319,319
NG17-10,338,338
NG16-12,318,318
NG17-10,339,339
NG16-12,317,317
NG17-10,340,340
NG16-12,316,316
NG17-10,341,341
NG17-10,342,342
NG17-10,343,343
NG16-12,306,306
NG16-12,305,305
NG16-12,304,304
NG17-10,265,265
NG16-12,303,303
NG17-10,266,266
NG16-12,302,302
NG17-10,267,267
NG16-12,301,301
NG17-10,268,268
NG16-12,300,300
NG17-10,269,269
NG16-12,299,299
NG17-10,270,270
NG16-12,298,298
NG17-10,271,271
NG16-12,297,297
NG17-10,272,272
NG16-12,296,296
NG17-10,273,273
NG16-12,295,295
NG17-10,274,274
NG16-12,294,294
NG17-10,275,275
NG16-12,293,293
NG17-10,276,276
NG16-12,292,292
NG17-10,277,277
NG16-12,291,291
NG17-10,278,278
NG16-12,290,290
NG17-10,279,279
NG16-12,289,289
NG17-10,280,280
NG16-12,288,288
NG17-10,281,281
NG16-12,287,287
NG17-10,282,282
NG16-12,286,286
NG16-12,285,285
NG16-12,284,284
NG16-12,283,283
NG16-12,282,282
NG16-12,281,281
NG16-12,280,280
NG16-12,279,279
NG16-12,278,278
NG16-12,277,277
NG17-10,292,292
NG16-12,276,276
NG17-10,293,293
NG16-12,275,275
NG17-10,294,294
NG16-12,274,274
NG17-10,295,295
NG16-12,273,273
NG17-10,296,296
NG16-12,272,272
NG17-10,297,297
NG16-12,271,271
NG17-10,298,298
NG16-12,270,270
NG17-10,299,299
NG17-10,300,300
NG16-12,262,262
NG16-12,261,261
NG16-12,260,260
NG17-10,221,221
NG16-12,259,259
NG17-10,222,222
NG16-12,258,258
NG17-10,223,223
NG16-12,257,257
NG17-10,224,224
NG16-12,256,256
NG17-10,225,225
NG16-12,255,255
NG17-10,226,226
NG16-12,254,254
NG17-10,227,227
NG16-12,253,253
NG17-10,228,228
NG16-12,252,252
NG17-10,229,229
NG16-12,251,251
NG17-10,230,230
NG16-12,250,250
NG17-10,231,231
NG16-12,249,249
NG17-10,232,232
NG16-12,248,248
NG17-10,233,233
NG16-12,247,247
NG17-10,234,234
NG16-12,246,246
NG17-10,235,235
NG16-12,245,245
NG17-10,236,236
NG16-12,244,244
NG17-10,237,237
NG16-12,243,243
NG17-10,238,238
NG16-12,242,242
NG17-10,239,239
NG16-12,241,241
NG16-12,240,240
NG16-12,239,239
NG16-12,238,238
NG16-12,237,237
NG16-12,236,236
NG16-12,235,235
NG16-12,234,234
NG17-10,247,247
NG16-12,233,233
NG17-10,248,248
NG16-12,232,232
NG17-10,249,249
NG16-12,231,231
NG17-10,250,250
NG16-12,230,230
NG17-10,251,251
NG16-12,229,229
NG17-10,252,252
NG16-12,228,228
NG17-10,253,253
NG16-12,227,227
NG17-10,254,254
NG16-12,226,226
NG17-10,255,255
NG16-12,225,225
NG17-10,256,256
NG16-12,224,224
NG17-10,257,257
NG17-10,258,258
NG17-10,259,259
NG17-10,260,260
NG17-10,261,261
NG17-10,262,262
NG16-12,218,218
NG16-12,217,217
NG16-12,216,216
NG17-10,177,177
NG16-12,215,215
NG17-10,178,178
NG16-12,214,214
NG17-10,179,179
NG16-12,213,213
NG17-10,180,180
NG16-12,212,212
NG17-10,181,181
NG16-12,211,211
NG17-10,182,182
NG16-12,210,210
NG17-10,183,183
NG16-12,209,209
NG17-10,184,184
NG16-12,208,208
NG17-10,185,185
NG16-12,207,207
NG17-10,186,186
NG16-12,206,206
NG17-10,187,187
NG16-12,205,205
NG17-10,188,188
NG16-12,204,204
NG17-10,189,189
NG16-12,203,203
NG17-10,190,190
NG16-12,202,202
NG17-10,191,191
NG16-12,201,201
NG17-10,192,192
NG16-12,200,200
NG17-10,193,193
NG16-12,199,199
NG17-10,194,194
NG16-12,198,198
NG17-10,195,195
NG16-12,197,197
NG17-10,196,196
NG16-12,196,196
NG17-10,197,197
NG16-12,195,195
NG16-12,194,194
NG16-12,193,193
NG16-12,192,192
NG16-12,191,191
NG17-10,202,202
NG16-12,190,190
NG17-10,203,203
NG16-12,189,189
NG17-10,204,204
NG16-12,188,188
NG17-10,205,205
NG16-12,187,187
NG17-10,206,206
NG16-12,186,186
NG17-10,207,207
NG16-12,185,185
NG17-10,208,208
NG16-12,184,184
NG17-10,209,209
NG16-12,183,183
NG17-10,210,210
NG16-12,182,182
NG17-10,211,211
NG16-12,181,181
NG17-10,212,212
NG16-12,180,180
NG17-10,213,213
NG16-12,179,179
NG17-10,214,214
NG17-10,215,215
NG17-10,216,216
NG17-10,217,217
NG17-10,218,218
NG17-10,219,219
NG17-11,177,177
NG17-11,178,178
NG16-12,174,174
NG16-12,173,173
NG16-12,172,172
NG17-10,133,133
NG16-12,171,171
NG17-10,134,134
NG16-12,170,170
NG17-10,135,135
NG16-12,169,169
NG17-10,136,136
NG16-12,168,168
NG17-10,137,137
NG16-12,167,167
NG17-10,138,138
NG16-12,166,166
NG17-10,139,139
NG16-12,165,165
NG17-10,140,140
NG16-12,164,164
NG17-10,141,141
NG16-12,163,163
NG17-10,142,142
NG16-12,162,162
NG17-10,143,143
NG16-12,161,161
NG17-10,144,144
NG16-12,160,160
NG17-10,145,145
NG16-12,159,159
NG17-10,146,146
NG16-12,158,158
NG17-10,147,147
NG16-12,157,157
NG17-10,148,148
NG16-12,156,156
NG17-10,149,149
NG16-12,155,155
NG17-10,150,150
NG16-12,154,154
NG17-10,151,151
NG16-12,153,153
NG17-10,152,152
NG16-12,152,152
NG17-10,153,153
NG16-12,151,151
NG17-10,154,154
NG16-12,150,150
NG17-10,155,155
NG16-12,149,149
NG17-10,156,156
NG16-12,148,148
NG17-10,157,157
NG16-12,147,147
NG17-10,158,158
NG16-12,146,146
NG17-10,159,159
NG16-12,145,145
NG17-10,160,160
NG16-12,144,144
NG17-10,161,161
NG16-12,143,143
NG17-10,162,162
NG16-12,142,142
NG17-10,163,163
NG16-12,141,141
NG17-10,164,164
NG16-12,140,140
NG17-10,165,165
NG16-12,139,139
NG17-10,166,166
NG16-12,138,138
NG17-10,167,167
NG16-12,137,137
NG17-10,168,168
NG16-12,136,136
NG17-10,169,169
NG16-12,135,135
NG17-10,170,170
NG16-12,134,134
NG17-10,171,171
NG16-12,133,133
NG17-10,172,172
NG17-10,173,173
NG17-10,174,174
NG17-10,175,175
NG17-11,133,133
NG17-11,134,134
NG17-11,135,135
NG16-12,130,130
NG16-12,129,129
NG16-12,128,128
NG17-10,89,89
NG16-12,127,127
NG17-10,90,90
NG16-12,126,126
NG17-10,91,91
NG16-12,125,125
NG17-10,92,92
NG16-12,124,124
NG17-10,93,93
NG16-12,123,123
NG17-10,94,94
NG16-12,122,122
NG17-10,95,95
NG16-12,121,121
NG17-10,96,96
NG16-12,120,120
NG17-10,97,97
NG16-12,119,119
NG17-10,98,98
NG16-12,118,118
NG17-10,99,99
NG16-12,117,117
NG17-10,100,100
NG16-12,116,116
NG17-10,101,101
NG16-12,115,115
NG17-10,102,102
NG16-12,114,114
NG17-10,103,103
NG16-12,113,113
NG17-10,104,104
NG16-12,112,112
NG17-10,105,105
NG16-12,111,111
NG17-10,106,106
NG16-12,110,110
NG17-10,107,107
NG16-12,109,109
NG17-10,108,108
NG16-12,108,108
NG17-10,109,109
NG16-12,107,107
NG17-10,110,110
NG16-12,106,106
NG17-10,111,111
NG16-12,105,105
NG17-10,112,112
NG16-12,104,104
NG17-10,113,113
NG16-12,103,103
NG17-10,114,114
NG16-12,102,102
NG17-10,115,115
NG16-12,101,101
NG17-10,116,116
NG16-12,100,100
NG17-10,117,117
NG16-12,99,99
NG17-10,118,118
NG16-12,98,98
NG17-10,119,119
NG16-12,97,97
NG17-10,120,120
NG16-12,96,96
NG17-10,121,121
NG16-12,95,95
NG17-10,122,122
NG16-12,94,94
NG17-10,123,123
NG16-12,93,93
NG17-10,124,124
NG16-12,92,92
NG17-10,125,125
NG16-12,91,91
NG17-10,126,126
NG16-12,90,90
NG17-10,127,127
NG16-12,89,89
NG17-10,128,128
NG16-11,131,131
NG17-10,129,129
NG17-10,130,130
NG17-10,131,131
NG17-11,89,89
NG17-11,90,90
NG17-11,91,91
NG17-11,92,92
NG17-11,93,93
NG16-12,86,86
NG16-12,85,85
NG16-12,84,84
NG17-10,45,45
NG16-12,83,83
NG17-10,46,46
NG16-12,82,82
NG17-10,47,47
NG16-12,81,81
NG17-10,48,48
NG16-12,80,80
NG17-10,49,49
NG16-12,79,79
NG17-10,50,50
NG16-12,78,78
NG17-10,51,51
NG16-12,77,77
NG17-10,52,52
NG16-12,76,76
NG17-10,53,53
NG16-12,75,75
NG17-10,54,54
NG16-12,74,74
NG17-10,55,55
NG16-12,73,73
NG17-10,56,56
NG16-12,72,72
NG17-10,57,57
NG16-12,71,71
NG17-10,58,58
NG16-12,70,70
NG17-10,59,59
NG16-12,69,69
NG17-10,60,60
NG16-12,68,68
NG17-10,61,61
NG16-12,67,67
NG17-10,62,62
NG16-12,66,66
NG17-10,63,63
NG16-12,65,65
NG17-10,64,64
NG16-12,64,64
NG17-10,65,65
NG16-12,63,63
NG17-10,66,66
NG16-12,62,62
NG17-10,67,67
NG16-12,61,61
NG17-10,68,68
NG16-12,60,60
NG17-10,69,69
NG16-12,59,59
NG17-10,70,70
NG16-12,58,58
NG17-10,71,71
NG16-12,57,57
NG17-10,72,72
NG16-12,56,56
NG17-10,73,73
NG16-12,55,55
NG17-10,74,74
NG16-12,54,54
NG17-10,75,75
NG16-12,53,53
NG17-10,76,76
NG16-12,52,52
NG17-10,77,77
NG16-12,51,51
NG17-10,78,78
NG16-12,50,50
NG17-10,79,79
NG16-12,49,49
NG17-10,80,80
NG16-12,48,48
NG17-10,81,81
NG16-12,47,47
NG17-10,82,82
NG16-12,46,46
NG17-10,83,83
NG16-12,45,45
NG17-10,84,84
NG16-11,87,87
NG17-10,85,85
NG16-11,86,86
NG17-10,86,86
NG16-11,85,85
NG17-10,87,87
NG17-11,45,45
NG17-11,46,46
NG17-11,47,47
NG17-11,48,48
NG17-11,49,49
NG17-11,50,50
NG17-11,51,51
NG16-12,42,42
NG16-12,41,41
NG16-12,40,40
NG17-10,1,1
NG16-12,39,39
NG17-10,2,2
NG16-12,38,38
NG17-10,3,3
NG16-12,37,37
NG17-10,4,4
NG16-12,36,36
NG17-10,5,5
NG16-12,35,35
NG17-10,6,6
NG16-12,34,34
NG17-10,7,7
NG16-12,33,33
NG17-10,8,8
NG16-12,32,32
NG17-10,9,9
NG16-12,31,31
NG17-10,10,10
NG16-12,30,30
NG17-10,11,11
NG16-12,29,29
NG17-10,12,12
NG16-12,28,28
NG17-10,13,13
NG16-12,27,27
NG17-10,14,14
NG16-12,26,26
NG17-10,15,15
NG16-12,25,25
NG17-10,16,16
NG16-12,24,24
NG17-10,17,17
NG16-12,23,23
NG17-10,18,18
NG16-12,22,22
NG17-10,19,19
NG16-12,21,21
NG17-10,20,20
NG16-12,20,20
NG17-10,21,21
NG16-12,19,19
NG17-10,22,22
NG16-12,18,18
NG17-10,23,23
NG16-12,17,17
NG17-10,24,24
NG16-12,16,16
NG17-10,25,25
NG16-12,15,15
NG17-10,26,26
NG16-12,14,14
NG17-10,27,27
NG16-12,13,13
NG17-10,28,28
NG16-12,12,12
NG17-10,29,29
NG16-12,11,11
NG17-10,30,30
NG16-12,10,10
NG17-10,31,31
NG16-12,9,9
NG17-10,32,32
NG16-12,8,8
NG17-10,33,33
NG16-12,7,7
NG17-10,34,34
NG16-12,6,6
NG17-10,35,35
NG16-12,5,5
NG17-10,36,36
NG16-12,4,4
NG17-10,37,37
NG16-12,3,3
NG17-10,38,38
NG16-12,2,2
NG17-10,39,39
NG16-12,1,1
NG17-10,40,40
NG16-11,43,43
NG17-10,41,41
NG16-11,42,42
NG17-10,42,42
NG16-11,41,41
NG17-10,43,43
NG16-11,40,40
NG17-11,1,1
NG16-11,39,39
NG17-11,2,2
NG17-11,3,3
NG17-11,4,4
NG17-11,5,5
NG17-11,6,6
NG17-11,7,7
NG17-11,8,8
NG17-11,9,9
NG17-11,12,12
NG17-11,15,15
NG16-09,1032,1032
NG16-09,1031,1031
NG16-09,1030,1030
NG17-07,969,969
NG16-09,1029,1029
NG17-07,970,970
NG16-09,1028,1028
NG17-07,971,971
NG16-09,1027,1027
NG17-07,972,972
NG16-09,1026,1026
NG17-07,973,973
NG16-09,1025,1025
NG17-07,974,974
NG16-09,1024,1024
NG17-07,975,975
NG16-09,1023,1023
NG17-07,976,976
NG16-09,1022,1022
NG17-07,977,977
NG16-09,1021,1021
NG17-07,978,978
NG16-09,1020,1020
NG17-07,979,979
NG16-09,1019,1019
NG17-07,980,980
NG16-09,1018,1018
NG17-07,981,981
NG16-09,1017,1017
NG17-07,982,982
NG16-09,1016,1016
NG17-07,983,983
NG16-09,1015,1015
NG17-07,984,984
NG16-09,1014,1014
NG17-07,985,985
NG16-09,1013,1013
NG17-07,986,986
NG16-09,1012,1012
NG17-07,987,987
NG16-09,1011,1011
NG17-07,988,988
NG16-09,1010,1010
NG17-07,989,989
NG16-09,1009,1009
NG17-07,990,990
NG16-09,1008,1008
NG17-07,991,991
NG16-09,1007,1007
NG17-07,992,992
NG16-09,1006,1006
NG17-07,993,993
NG16-09,1005,1005
NG17-07,994,994
NG16-09,1004,1004
NG17-07,995,995
NG16-09,1003,1003
NG17-07,996,996
NG16-09,1002,1002
NG17-07,997,997
NG16-09,1001,1001
NG17-07,998,998
NG16-09,1000,1000
NG17-07,999,999
NG16-09,999,999
NG17-07,1000,1000
NG16-09,998,998
NG17-07,1001,1001
NG16-09,997,997
NG17-07,1002,1002
NG16-09,996,996
NG17-07,1003,1003
NG16-09,995,995
NG17-07,1004,1004
NG16-09,994,994
NG17-07,1005,1005
NG16-09,993,993
NG17-07,1006,1006
NG16-09,992,992
NG17-07,1007,1007
NG16-09,991,991
NG17-07,1008,1008
NG16-08,1009,1009
NG17-07,1009,1009
NG16-08,1008,1008
NG17-07,1010,1010
NG16-08,1007,1007
NG17-07,1011,1011
NG16-08,1006,1006
