Management,Type,Acres,District,Field Office,Name,Lease Status
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),362.427592162,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),275.761468807,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),364.505519774,Spokane,Wenatchee,Yakima River Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),219.661906856,Spokane,Wenatchee,Yakima River Cliffs - Uranium Ridge,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),12.1091996099,Spokane,Wenatchee,Cowiche Canyon,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),367.112202145,Spokane,Wenatchee,Cowiche Canyon,UNKNOWN
Bureau of Land Management,Wilderness Study Area,9782.27854553,Prineville,Central Oregon,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),6887.09012823,Prineville,Central Oregon,North Fork Crooked River,UNKNOWN
Bureau of Land Management,Wild and Scenic River,1.14888465054,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,42.6241875241,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,57.6330841330,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,31.6122179407,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,79.1549734656,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.2199664357,,Central Oregon,,
Bureau of Land Management,Historic/Scenic Trail,460.369940516,,Wenatchee,,
Bureau of Land Management,Wilderness Area,6339.45275845,Salem,Cascades,,
Bureau of Land Management,Wild and Scenic River,78.8618601402,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,43.3294480146,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,37.8610023410,,Central Oregon,,
Bureau of Land Management,Wilderness Area,31569.2784922,Albuquerque,Rio Puerco,,
Bureau of Land Management,Historic/Scenic Trail,6580.03138772,,Cascades,,
Bureau of Land Management,Wild and Scenic River,583.261882980,,Deschutes,,
Bureau of Land Management,Wilderness Area,30039.9464033,Albuquerque,Rio Puerco,,
Bureau of Land Management,Historic/Scenic Trail,4709.96517746,,Central Oregon,,
Bureau of Land Management,Historic/Scenic Trail,290.648548736,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.9710012980,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,79.9896200571,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,41.5368629449,,Deschutes,,
Bureau of Land Management,Wilderness Study Area,9.20958258559,Prineville,Deschutes,,
Bureau of Land Management,Wilderness Study Area,9.94706477829,Prineville,Deschutes,,
Bureau of Land Management,Wild and Scenic River,207.397801806,,Deschutes,,
Bureau of Land Management,Wilderness Study Area,34.5843594772,Prineville,Deschutes,,
Bureau of Land Management,Wild and Scenic River,26.3345207006,,Cascades,,
Bureau of Land Management,Wilderness Study Area,26.0463701309,Prineville,Deschutes,,
Bureau of Land Management,Wild and Scenic River,116.002226009,,Cascades,,
Bureau of Land Management,Wild and Scenic River,81.5893227250,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,22.5110461198,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,159.682401308,,Deschutes,,
Bureau of Land Management,Wilderness Study Area,5.87501861198,Prineville,Deschutes,,
Bureau of Land Management,Wilderness Study Area,6.13639060981,Prineville,Deschutes,,
Bureau of Land Management,Wild and Scenic River,78.2833121572,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,135.829526868,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,9.23973799128,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,8.35524428263,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,246.379412209,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,37.0028256860,,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,1013.48251416,Prineville,Deschutes,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),73.6775030321,Eugene,Upper Willamette,Grassy Mountain,UNKNOWN
Bureau of Land Management,Wilderness Study Area,66.9580723348,Prineville,Deschutes,,
Bureau of Land Management,National Wildlife Refuge,3.45004504268,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,32.8204994685,Prineville,Deschutes,,
Bureau of Land Management,Wilderness Study Area,2.09821810200,Prineville,Deschutes,,
Bureau of Land Management,Wilderness Study Area,1927.72879059,Prineville,Deschutes,,
Bureau of Land Management,Wilderness Study Area,55.8956748149,Prineville,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.6831436642,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,22.2404100846,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,122.793847963,,Deschutes,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),7.84617266533,Prineville,Deschutes,Logan Butte,UNKNOWN
Bureau of Land Management,Wild and Scenic River,125.507727636,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,9.52203913011,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,9.51516527394,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,8.10958334977,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,96.3405632883,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,140.563854786,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,163.647281763,,Cascades,,
Bureau of Land Management,Wild and Scenic River,2.25460476273,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,38.4287953218,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,511.822908929,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,34.3690406110,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.8406444498,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,263.561383324,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,10.3443200240,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,261.702178522,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,14.1035856673,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,157.690225663,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,328.935535770,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,110.386164603,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,208.540000326,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,138.294645492,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,233.587385105,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,1027.42515357,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,41.0104659832,,Deschutes,,
Bureau of Land Management,Wilderness Area,39908.1178331,Albuquerque,Rio Puerco,,
Bureau of Land Management,Wild and Scenic River,40.0144434656,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,19.7579182953,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,147.444456521,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,401.343797308,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,40.6794337138,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,20.1411091180,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,64.4840266179,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,40.3112603334,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.7290969686,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,40.6360153517,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,249.423550809,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,1588.64110288,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,936.445986934,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,80.2726139177,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,20.0170731481,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,258.521211857,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,587.643921796,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,88.2063962845,,Deschutes,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),40164.7015636,Arizona Strip,Arizona Strip,VIRGIN SLOPE ACEC,UNKNOWN
Bureau of Land Management,Wild and Scenic River,266.233492109,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,154.873868098,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,64.3145671752,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,117.075787203,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,116.753158290,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,31.4677974983,,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,33002.6295625,Prineville,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,40.5544259602,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,393.825926006,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,75.5888123274,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,450.138754392,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.6525758843,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.8704422279,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,40.3442063645,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,304.176233527,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,17.9135658809,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.3289223356,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,237.676554577,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,610.608791611,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.4454734177,,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,8363.80930427,Prineville,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.4562581585,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,338.284976136,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,67.4563385156,,Deschutes,,
Bureau of Land Management,Wilderness Study Area,6466.94141237,Prineville,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,28823.9862230,Prineville,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,11382.9656172,Prineville,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,52281.0041086,Prineville,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,29548.9972491,Prineville,Deschutes,,
Bureau of Land Management,Wild and Scenic River,78.3752577098,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,88.8392899785,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,606.197974906,,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,19285.2303334,N/A,St. George,,
Bureau of Land Management,Wild and Scenic River,1204.38089632,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,76.6781350989,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,40.0339127630,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.7789622336,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,241.272510122,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,285.420475696,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,74.7514587749,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,31.7389796606,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,15.5788688050,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,40.5133375386,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,54.5940263396,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.4794978958,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,289.161345397,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,761.089577837,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,21.2249698406,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,162.087391256,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,884.307142653,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,156.564441086,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,78.5342477798,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,49.6979388973,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,119.035080651,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,51.0166695711,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,30.2423912217,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,274.700525136,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,13.4082019603,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,2488.45804506,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,331.528998989,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,1551.38641851,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,609.972468657,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,79.7273777614,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,95.6520108426,,Central Oregon,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),515.567350557,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),142.959626643,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Wild and Scenic River,5373.28639136,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,437.099548270,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,23.3676554263,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,76.4135629945,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,40.4435347558,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,76.4242397824,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,39.9860268958,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,79.4358230198,,Central Oregon,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),162.899938529,Prineville,Central Oregon,North Fork Crooked River,UNKNOWN
Bureau of Land Management,National Wildlife Refuge,2.28572984125,N/A,Surprise,,
Bureau of Land Management,National Conservation Area,11.1437908830,N/A,Bishop,,
Bureau of Land Management,Wild and Scenic River,1707.60654591,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,269.335750124,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,126.794729258,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,31.2430507012,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,7.56109663545,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,49.6328861887,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,335.340904291,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,130.125518369,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,545.010611107,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,128.989594068,,Deschutes,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),15.8039984928,Prineville,Deschutes,Historic Roads,UNKNOWN
Bureau of Land Management,Wild and Scenic River,3744.42026933,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,118.898477723,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,2545.69679813,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,203.654121691,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,3.71522408756,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,7.15208166406,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,50.0003319884,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,752.183843869,,Deschutes,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),439.192849068,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Wild and Scenic River,2689.63097509,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,814.539215584,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.2695950941,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,799.926831750,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,1128.10313017,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,39.5966979504,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,637.529954233,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,119.804521243,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,237.224345614,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,279.750871412,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,711.879533665,,Cascades,,
Bureau of Land Management,National Conservation Area,2.41567285271,California Desert,Needles,,
Bureau of Land Management,Wild and Scenic River,3207.12421820,,Cascades,,
Bureau of Land Management,Wild and Scenic River,4.23962016787,,Cascades,,
Bureau of Land Management,Wild and Scenic River,26.0669938471,,Cascades,,
Bureau of Land Management,Wild and Scenic River,38.7007215916,,Cascades,,
Bureau of Land Management,Wild and Scenic River,42.4893815338,,Cascades,,
Bureau of Land Management,Wild and Scenic River,363.174011980,,Cascades,,
Bureau of Land Management,Wild and Scenic River,147.241314887,,Cascades,,
Bureau of Land Management,Wild and Scenic River,1368.10926400,,Cascades,,
Bureau of Land Management,Wild and Scenic River,2.62064698476,,Cascades,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),38.6990933871,Salem,Cascades,Sandy River Gourge,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),240.033472952,Prineville,Central Oregon,Logan Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),609.424597839,Prineville,Deschutes,Horse Ridge,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),312.710625360,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4296.82838059,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.4798243290,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1.02363339187,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),158.466366064,Prineville,Central Oregon,Horn Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),40.9047058626,Prineville,Central Oregon,Winter Roost,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),46.3530459291,Prineville,Deschutes,The Island,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),310.366165612,Salem,Cascades,Sandy River Gourge,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),42.4865459665,Salem,Cascades,Sandy River Gourge,UNKNOWN
Bureau of Land Management,National Monument,737.367969106,Twin Falls,Shoshone,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),111.589263359,Prineville,Deschutes,The Island,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3651.64903719,Prineville,Central Oregon,South Fork Crooked River,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),544.219511336,Prineville,Deschutes,Logan Butte,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),63.4579378406,Prineville,Deschutes,Historic Roads,UNKNOWN
Bureau of Land Management,National Wildlife Refuge,1.51224634906,N/A,Carson City,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),36.1144095416,Prineville,Deschutes,Historic Roads,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.9823017410,Prineville,Deschutes,Peck's Milkvetch,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),16684.3153118,Prineville,Deschutes,UNKNOWN,UNKNOWN
Bureau of Land Management,National Monument,994.612463492,Twin Falls,Shoshone,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1231.20912898,Salem,Cascades,Shafer Creek,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),95.0260653172,Salem,Cascades,Middle Santiam Terrrace,UNKNOWN
Bureau of Land Management,National Monument,42.1655727760,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,11.9438005267,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,2.14272525444,N/A,Elko,,
Bureau of Land Management,National Wildlife Refuge,1.05009082976,N/A,Carson City,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),43.3759927216,Prineville,Deschutes,Historic Roads,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),509.589719903,Prineville,Deschutes,Powell Butte,UNKNOWN
Bureau of Land Management,National Monument,335.888858811,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,1.05571450954,N/A,Carson City,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),55.3403699348,Salem,Cascades,White Rock Fen,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),87.3998081692,Vale,Baker,Horn Butte,UNKNOWN
Bureau of Land Management,Wild and Scenic River,11339.8109797,,Deschutes,,
Bureau of Land Management,Wild and Scenic River,567.570671357,,Cascades,,
Bureau of Land Management,Wild and Scenic River,25935.2866413,,Central Oregon,,
Bureau of Land Management,Wild and Scenic River,1038.65042577,,Central Oregon,,
Bureau of Land Management,Wilderness Study Area,20.6361242201,Twin Falls,Shoshone,,
Bureau of Land Management,Wild and Scenic River,2907.17319680,,Central Oregon,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3959.65962890,Prineville,Deschutes,Peck's Milkvetch,UNKNOWN
Bureau of Land Management,National Monument,1348.11513010,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,14.1095284289,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,2.03986641727,N/A,Carson City,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),11096.2893542,Prineville,Deschutes,Peck's Milkvetch,UNKNOWN
Bureau of Land Management,Wilderness Study Area,1407.57069522,Twin Falls,Jarbridge,,
Bureau of Land Management,National Monument,1.49966764392,Twin Falls,Burley,,
Bureau of Land Management,National Monument,6.93447178759,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,18.0799987861,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,608.406226342,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,5.08864430483,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,909.347233406,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,1.23002687511,N/A,Elko,,
Bureau of Land Management,National Conservation Area,188659.571890,,,,
Bureau of Land Management,National Wildlife Refuge,6.23137545512,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,2.03259771442,N/A,Carson City,,
Bureau of Land Management,National Monument,157.846614843,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,1509.32077644,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,1076.80496915,Twin Falls,Shoshone,,
Bureau of Land Management,National Wildlife Refuge,2.03502705884,N/A,Carson City,,
Bureau of Land Management,National Monument,213.472581767,Twin Falls,Shoshone,,
Bureau of Land Management,National Monument,10.2169122409,Twin Falls,Shoshone,,
Bureau of Land Management,Historic/Scenic Trail,506.400250172,,Shoshone,,
Bureau of Land Management,Wilderness Study Area,1.44602643405,Idaho Falls,Upper Snake,,
Bureau of Land Management,Wilderness Study Area,257.014622188,Twin Falls,Jarbridge,,
Bureau of Land Management,Wilderness Study Area,23.9258462484,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,21.3449887038,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,1.06394859927,Twin Falls,Burley,,
Bureau of Land Management,National Wildlife Refuge,1.44344381721,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,40.2221548281,N/A,Elko,,
Bureau of Land Management,National Wildlife Refuge,2.12930295495,N/A,Carson City,,
Bureau of Land Management,Wilderness Study Area,366.163290798,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,4.47329347720,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,1.30622253793,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,12.5458515588,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,396.280361519,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,24.7347488968,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,20.0014173932,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,783.956322032,Twin Falls,Burley,,
Bureau of Land Management,Wilderness Study Area,3.57773238030,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.14495000224,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,23.2691071400,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.94849213996,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,31.9174044564,Twin Falls,Shoshone,,
